,Time,IP1,IP2,Protocol,Pkt-size
317,2.862673,74.125.250.44,172.16.155.40,UDP,173
318,2.871592,172.16.155.40,74.125.250.44,UDP,113
319,2.878705,74.125.250.44,172.16.155.40,UDP,149
320,2.887514,172.16.155.40,74.125.250.44,UDP,84
321,2.891469,172.16.155.40,74.125.250.44,UDP,81
322,2.907018,74.125.250.44,172.16.155.40,UDP,100
323,2.911952,74.125.250.44,172.16.155.40,UDP,735
324,2.927476,74.125.250.44,172.16.155.40,UDP,987
325,2.938497,172.16.155.40,74.125.250.44,UDP,80
326,2.942477,74.125.250.44,172.16.155.40,UDP,164
327,2.943953,74.125.250.44,172.16.155.40,UDP,178
328,2.946777,74.125.250.44,172.16.155.40,UDP,169
329,2.956537,74.125.250.44,172.16.155.40,UDP,100
330,2.959279,74.125.250.44,172.16.155.40,UDP,160
331,2.960295,74.125.250.44,172.16.155.40,UDP,686
332,2.967082,172.16.155.40,74.125.250.44,UDP,100
333,2.982247,74.125.250.44,172.16.155.40,UDP,154
334,2.989067,172.16.155.40,74.125.250.44,UDP,84
335,2.998028,74.125.250.44,172.16.155.40,UDP,151
336,3.003438,74.125.250.44,172.16.155.40,UDP,784
337,3.019272,74.125.250.44,172.16.155.40,UDP,142
338,3.039233,74.125.250.44,172.16.155.40,UDP,117
339,3.039425,172.16.155.40,74.125.250.44,UDP,84
340,3.042014,74.125.250.44,172.16.155.40,UDP,123
341,3.043634,74.125.250.44,172.16.155.40,UDP,97
342,3.054791,74.125.250.44,172.16.155.40,UDP,81
343,3.057166,74.125.250.44,172.16.155.40,UDP,686
344,3.058311,74.125.250.44,172.16.155.40,UDP,144
345,3.058311,74.125.250.44,172.16.155.40,UDP,144
346,3.058311,74.125.250.44,172.16.155.40,UDP,144
347,3.062413,74.125.250.44,172.16.155.40,UDP,129
348,3.062413,74.125.250.44,172.16.155.40,UDP,671
349,3.06848,74.125.250.44,172.16.155.40,UDP,81
350,3.08789,74.125.250.44,172.16.155.40,UDP,121
351,3.08789,172.16.155.3,224.0.0.2,HSRP,62
352,3.089961,172.16.155.40,74.125.250.44,UDP,88
353,3.099421,74.125.250.44,172.16.155.40,UDP,119
354,3.100457,74.125.250.44,172.16.155.40,UDP,1133
355,3.105719,74.125.250.44,172.16.155.40,UDP,1134
356,3.121849,74.125.250.44,172.16.155.40,UDP,85
357,3.13296,74.125.250.44,172.16.155.40,UDP,925
358,3.141986,172.16.155.40,74.125.250.44,UDP,84
359,3.183143,74.125.250.44,172.16.155.40,UDP,1218
360,3.183583,172.16.155.40,74.125.250.44,UDP,148
361,3.192662,172.16.155.40,74.125.250.44,UDP,80
362,3.215998,74.125.250.44,172.16.155.40,UDP,802
363,3.234591,172.16.155.40,74.125.250.44,UDP,100
364,3.243348,172.16.155.40,74.125.250.44,UDP,80
365,3.276279,74.125.250.44,172.16.155.40,UDP,885
366,3.277295,74.125.250.44,172.16.155.40,UDP,886
367,3.291642,172.16.155.40,74.125.250.44,UDP,97
368,3.294105,172.16.155.40,74.125.250.44,UDP,80
369,3.307483,74.125.250.44,172.16.155.40,UDP,631
370,3.311424,172.16.155.40,74.125.250.44,UDP,81
371,3.313471,74.125.250.44,172.16.155.40,UDP,100
372,3.345411,172.16.155.40,74.125.250.44,UDP,80
373,3.349703,74.125.250.44,172.16.155.40,UDP,829
374,3.358222,172.16.155.40,162.125.35.136,TLSv1.2,199
375,3.358247,172.16.155.40,162.125.35.136,TCP,1514
376,3.358247,172.16.155.40,162.125.35.136,TCP,1514
377,3.358247,172.16.155.40,162.125.35.136,TCP,1514
378,3.358247,172.16.155.40,162.125.35.136,TLSv1.2,1307
379,3.358753,162.125.35.136,172.16.155.40,TCP,60
380,3.359773,162.125.35.136,172.16.155.40,TCP,60
381,3.359773,162.125.35.136,172.16.155.40,TCP,60
382,3.359773,162.125.35.136,172.16.155.40,TCP,60
383,3.359773,162.125.35.136,172.16.155.40,TCP,60
384,3.360746,172.16.155.40,74.125.250.44,UDP,100
385,3.365318,74.125.250.44,172.16.155.40,UDP,100
386,3.368131,172.16.155.40,172.16.155.20,TCP,164
387,3.370556,172.16.155.20,172.16.155.40,TCP,164
388,3.379027,74.125.250.44,172.16.155.40,UDP,136
